City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
181,Cap Malheureux,MU,-19.9842,57.6142,78.48,71,55,3.0,broken clouds
182,Severo-Yeniseyskiy,RU,60.3725,93.0408,4.21,91,100,10.51,overcast clouds
183,Souillac,MU,-20.5167,57.5167,78.37,83,40,5.75,scattered clouds
184,Saint George,US,37.1041,-113.5841,72.36,27,0,1.99,clear sky
185,Floirac,FR,44.8324,-0.5141,49.55,88,20,9.22,few clouds
186,Teguldet,RU,57.3064,88.1667,20.89,93,100,9.89,overcast clouds
187,Diamantino,BR,-14.4086,-56.4461,83.05,74,100,2.95,light rain
188,Laramie,US,41.3114,-105.5911,60.78,21,0,8.99,clear sky
189,Maningrida,AU,-12.0667,134.2667,82.69,77,100,4.12,overcast clouds
190,Xining,CN,36.6167,101.7667,26.15,30,0,2.62,clear sky
191,Bredasdorp,ZA,-34.5322,20.0403,62.28,85,100,19.64,light rain
192,Atambua,ID,-9.1061,124.8925,73.9,93,100,2.44,overcast clouds
193,Mount Vernon,US,40.9126,-73.8371,48.43,61,75,1.99,broken clouds
194,Kurumkan,RU,54.3,110.3,14.61,93,52,5.08,light snow
195,Klaksvik,FO,62.2266,-6.589,34.72,55,100,18.92,overcast clouds
196,Abadan,IR,30.3392,48.3043,59.52,25,100,7.56,overcast clouds
197,Bubaque,GW,11.2833,-15.8333,81.66,75,28,14.65,scattered clouds
198,El Retorno,CO,2.3302,-72.6276,79.0,88,100,3.4,overcast clouds
199,Mareeba,AU,-17.0,145.4333,76.44,80,50,1.79,scattered clouds
200,Mogadishu,SO,2.0371,45.3438,80.01,73,14,18.54,few clouds
201,Wanning,CN,18.8003,110.3967,69.12,72,99,13.91,overcast clouds
202,Port Macquarie,AU,-31.4333,152.9167,64.89,94,75,12.66,broken clouds
203,Quatre Cocos,MU,-20.2078,57.7625,78.1,73,58,13.11,broken clouds
204,Constitucion,CL,-35.3333,-72.4167,67.59,56,4,15.14,clear sky
205,Mehamn,NO,71.0357,27.8492,17.83,83,10,20.18,clear sky
206,Resistencia,AR,-27.4606,-58.9839,84.09,72,91,7.74,overcast clouds
207,Dakar,SN,14.6937,-17.4441,74.28,74,100,14.41,overcast clouds
208,Isla Mujeres,MX,21.2311,-86.731,80.65,64,0,7.63,clear sky
209,Srednekolymsk,RU,67.45,153.6833,-40.9,100,61,2.64,broken clouds
210,Atar,MR,20.5169,-13.0499,75.07,16,34,9.28,scattered clouds
211,Pierre,US,44.3683,-100.351,39.06,42,100,5.99,overcast clouds
212,Cam Ranh,VN,11.9214,109.1591,73.36,68,20,8.05,few clouds
213,Saldanha,ZA,-33.0117,17.9442,61.03,93,100,4.97,heavy intensity rain
214,Nuuk,GL,64.1835,-51.7216,45.21,42,75,24.16,broken clouds
215,General Roca,AR,-39.0333,-67.5833,77.4,24,27,3.76,scattered clouds
216,Moree,AU,-29.4667,149.85,73.42,60,0,9.22,clear sky
217,Praia Da Vitoria,PT,38.7333,-27.0667,63.75,89,50,6.4,scattered clouds
218,Jaguarari,BR,-10.2639,-40.1958,68.41,92,99,6.08,overcast clouds
219,Gomel,BY,52.4345,30.9754,28.38,93,100,11.18,overcast clouds
220,Itarema,BR,-2.9248,-39.9167,81.18,76,55,14.23,broken clouds
221,Havre-Saint-Pierre,CA,50.2334,-63.5986,26.19,49,8,22.15,clear sky
222,Monroe,US,43.1501,-77.6831,41.5,57,75,16.11,broken clouds
223,Jiwani,PK,25.05,61.7417,76.12,63,0,7.9,clear sky
